MSE,MAE
0.016778567043312147,0.09609472520662521
0.009115880194301753,0.06916923071069521
0.00782795298261075,0.06407082830172978
0.008333435109875114,0.0643289132343786
0.006483225884460041,0.051784862400590076
0.007497743564523617,0.05928547941517405
0.008680693905127226,0.060971847263099926
0.007117737301957452,0.05691471546404826
0.008840100724468468,0.06422594426373449
0.009686084281282346,0.06921797564935281
0.010244250609215765,0.06582392477003801
0.007906329711735412,0.05546046135809635
0.009777211377493211,0.07013604545925954
0.011186002972174373,0.07021103443406959
0.008271107027404512,0.06488288388749892
0.012035960675806175,0.07301992913759728
0.011893751104515023,0.07227020802003883
0.012143308293957985,0.07625049331222239
0.012364918638512289,0.07719799144083657
0.007714080697522601,0.06551838503529132
0.009145776988702763,0.0729876638691449
0.01418852772307379,0.0919429289598538
0.013809520411716037,0.07804023209280721
0.011941307013267267,0.07436944878747642
0.010291153121348269,0.0754497210032898
0.016181415983355065,0.09602647910168957
0.01701767932696686,0.10093141180064574
0.011180992134311512,0.07345295475051192
0.009916384651313538,0.06998851124786082
0.012559294727185264,0.08076872669568874
0.012955080197423734,0.07933428209605513
0.012083021894955531,0.08430379566628682
0.011241661136684762,0.08013004765380743
0.015612970567536614,0.0926066191132157
0.018060974802913042,0.10335457853087046
0.012233562887010645,0.08128802310127381
0.013707105423424423,0.07976170318613475
0.017432351693177105,0.09536192090408974
0.012606489160422453,0.08121910169957139
0.011179967991220145,0.07921504543047943
0.009241353924415979,0.06951509817038158
0.012069510376097077,0.08029531130871082
0.012073847873429012,0.07914492495382408
0.010866201293244941,0.07487439456686845
0.013043684233981775,0.0869070709851175
0.01129907317974916,0.07784463487782034
0.00664809745549388,0.05973722172083932
0.006981207900617485,0.06025987385013257
0.010595976605367879,0.0734935094151758
0.013361953765841083,0.0893693712957616
0.025331574981984763,0.1249423465991373
0.032131986183844996,0.1337773713489675
0.04104694670271564,0.1528708239067875
0.040035949209713886,0.15484469405724985
0.029930281908853194,0.13236012189337126
0.026592386674182386,0.1296001673138289
0.02105417751711738,0.11394700306540716
0.024146580334930907,0.12183196164473722
0.02556789621769454,0.12592764207498602
0.03196737558840085,0.14026341448809054
0.029836394974047182,0.13894122364711156
0.025913595250562232,0.1273870697833735
0.019310310973303966,0.11080064496360925
0.01689358105805822,0.10698927759224756
0.015021352395278569,0.09257314382066657
0.0151217286108597,0.0905028868675822
0.014452556324109776,0.08867126631140705
0.013755020397920741,0.08628650098515375
0.015791929757046665,0.09114227369962659
0.01637762994331622,0.09207328017342867
0.02038434438323598,0.11087660593538512
0.0213005076294723,0.11337382813408718
0.019836381727291685,0.1050947696439791
0.01911871818443521,0.10028222510659196
0.02071594840681276,0.1045663558784119
0.027010708002316714,0.12338244248755197
0.024352387930357676,0.1177767166201268
0.02218867055777738,0.1114762538038874
0.022974010233089533,0.11125463463408408
0.021342310893950975,0.10927324993607151
0.023423289747862765,0.11851374604689711
0.02661369628592638,0.12074061975253983
0.028199200166612832,0.12927078187819305
0.029493962669885423,0.12850519175708322
0.026913193368163075,0.12587662746675216
0.027764552268474844,0.12399631724517314
0.030565182576797006,0.12701083469808142
0.027000815057706882,0.123800749836274
0.025195424524029966,0.12120920846535761
0.026265461438500316,0.1249112101395804
0.02774198424655928,0.12504374541497906
0.02691321601988325,0.12190339981204683
0.02548789735232504,0.12082271616019069
0.025474205930965898,0.12126914386947243
0.023567546815813193,0.10963145049950439
0.023452669353976028,0.11738116434145117
0.024646354478197602,0.1296552600894038
0.025534751833571387,0.12467566145078567
0.027189112897587374,0.12837373160892387
0.02762377170176373,0.12613669630354596
0.027264422287211793,0.12863054502804483
0.027938019440542344,0.1275428011200035
0.028112670130542115,0.12602597459470533
0.027784758925907174,0.13139581071434123
0.03052137737441047,0.1329523180684541
0.030866900718053116,0.12946441264940436
0.02827872284783432,0.12282631091508556
0.025925502765538837,0.11784860682472852
0.024194411292103025,0.10937437804535846
0.021868959086754028,0.11338483284108491
0.023974443549817086,0.12171524785398827
0.02627409913209508,0.12343627023091108
0.02921510830498337,0.12889421585070487
0.03126757425233465,0.13773239945540505
0.03274701869971133,0.13743408212591834
0.03168203893978173,0.13057931535627662
0.030433750546885067,0.1275953823815618
0.02615543247590749,0.12289221319400939
0.028253441230558736,0.1252601343027269
0.028117337744977752,0.1251850689644863
0.026446226961765254,0.11994542023617329
0.02321756957790409,0.12160329406306765
0.026653038139311854,0.12952271001215923
0.02537079692290504,0.1278238372468062
0.023345611563419157,0.11878660546463464
0.022980402909510714,0.10997701054512538
0.021491790367232012,0.11883195134647541
0.022119140501023267,0.11125648999790837
0.027568213876512655,0.1278310245244897
0.031349596956068655,0.13796937391909742
0.02808046077563506,0.11910666545996704
0.024704604189131906,0.11677539175629656
0.026044736219976522,0.12741565939155877
0.025992359329742348,0.1228607473375431
0.027441677284728242,0.13362564293699317
0.028125412216239057,0.12727416159303734
0.025604279140485735,0.12567258541745824
0.02329122667682221,0.11828056644767261
0.022358939728848434,0.11664766245195207
0.023727742878842703,0.11407483968518278
0.02769676999351108,0.13310096365754853
0.02729646111522853,0.12373840838803006
0.023565675541049942,0.11469206494663646
0.02318800135420803,0.11625168811176728
0.023070021440801756,0.12185378380966844
0.021641446357109382,0.11360396490661508
0.025232569661354665,0.11959461320082619
0.0214544074170495,0.1150875466501389
0.02087746308326436,0.11169178152362577
0.022568657460555978,0.11486940974305312
0.022975958423759147,0.11647335199960954
0.02305336545714867,0.11800228140751992
0.023643599582507127,0.12604938177456632
0.02454759719576637,0.12716484688120583
0.024694516236448714,0.12720768744931527
0.02173964663508092,0.11247069481892187
0.022843937651222293,0.11889889352783697
0.022179282425740975,0.12080358216168222
0.022288788469135547,0.11711143913840995
0.021710987299534388,0.11410360165052125
0.027039181455441375,0.13422601871523213
0.023725367978832332,0.12241991819516462
0.024074986089773834,0.12513338689489856
0.01954931936080138,0.10637317376422639
0.018837540347381432,0.11052850785189243
0.02248131183006351,0.11817312268377506
0.02179042441113528,0.1144133640234447
0.0243721080294271,0.12180034108378796
0.025586312569113624,0.12375322847004486
0.02053572786032343,0.11397183928481991
0.021616440905949125,0.12178358065328394
0.022327629064938168,0.11358589135565136
0.026143470871204565,0.12977405855195676
0.02376449133143788,0.12279641561143885
0.025111941844840963,0.12369803596509055
0.025057961126690998,0.12396515494519954
0.024338005054369734,0.1229179295211366
0.02363937645642252,0.11990138223191929
0.021791721392216086,0.11832271877371744
0.025662370496099773,0.1230492605616816
0.027742377331752558,0.13000422223695857
0.023016095578665532,0.12510152796752594
0.020687191524692224,0.11561452754882298
0.022173886288351416,0.11706559061953278
0.023215179129107023,0.12205209986422533
0.024488136949847493,0.12501822369034413
0.02341316771249287,0.12206157916761873
0.02151970533808996,0.11934589058441498
0.025617031933447082,0.13119548543297008
0.03228041839261686,0.1418374751764273
0.03279518613377968,0.14632684020411962
0.028370407872034646,0.12979389644001674
0.030775335781830886,0.13865965206682582
0.03472877981735081,0.14482850763943605
0.034635834357853876,0.14587979321666586
0.032802834416986865,0.14242662933028657
0.03428330391309287,0.14808768846359502
0.02919223046592729,0.13740352688172153
0.027120110018577406,0.1340961410261493
0.023028404870217383,0.12084398682845061
0.023476232998683497,0.11769543155176858
0.02557226880324793,0.13026196189299286
0.02619710960620729,0.12505874333379713
0.028207379944914037,0.13808863714519534
0.024853367406332497,0.12824156085973382
0.02046424001021159,0.11725536678602008
0.018812312767203507,0.11504701374769565
0.01798449919106647,0.11372478287573468
0.018038939554495415,0.10636076226006806
0.02133943583853556,0.11924773382418799
0.02453444848854801,0.12055377791422058
0.02656437108382212,0.1307151875383881
0.019057591085699148,0.11291283326528961
0.021317527954537993,0.11591818363606499
0.02413147272765298,0.129226981757467
0.020192905056740883,0.11820469049925927
0.018886009397203952,0.10741848421110305
